year,homes_built,revenue,cogs,gross_profit,opex,pre_tax,tax,post_tax_distributable
2026,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2027,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2028,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2029,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2030,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2031,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2032,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2033,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2034,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2035,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2036,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
2037,7500,232500000,204750000,27750000,11625000.0,16125000.0,4031250.0,12093750.0
